Error_Tag,Count
lex,5069
syntax,4399
gov,2278
ortho,2128
prep,1291
ref,1250
asp,1127
conj,985
agrnum,874
constr,853
agrgender,852
morph,849
agrcase,848
num,817
"ortho,subst",709
wo,704
punct,644
infl,551
"ortho,miss",507
"lex,subst",444
not-clear,337
tense,325
misspell,304
extra,297
brev,295
miss,287
space,257
gender,247
"lex,constr",223
agrpers,186
refl,185
"ortho,extra",161
"lex,transfer",159
hyphen,157
"lex,not-clear",156
deriv,151
"syntax,gov",145
impers,128
"constr,lex",126
subst,124
"prep,miss",116
"syntax,asp",112
"disc,wo",109
"constr,transfer",107
space+ins,106
"gov,agrcase",104
hyphen+del,101
"lex,extra",95
aux,93
par,93
com,92
nominative,91
"syntax,constr",86
"punct,miss",85
altern,85
idiom,84
"lex,miss",81
"ref,miss",79
"lex,par",76
mode,75
"morph,infl",74
"syntax,agrgender",74
"syntax,agrnum",73
transfer,69
cs,67
"ref,extra",64
"syntax,tense",62
"infl,subst",62
hyphen+ins,60
agrstr,59
"syntax,constr,prep,subst",59
insert,58
"disc,constr",55
"syntax,agrcase",54
"disc,lex",53
translit,53
del,52
"prep,subst",52
passive,51
"gov,lex",51
"constr,miss",51
"prep,extra",50
"morph,deriv",50
"syntax,constr,lex,miss",49
"conj,miss",47
"lex,disc",47
"conj,extra",46
"syntax,gov,miss",45
"prep,lex",44
"gov,constr",44
"ortho,transp",44
"ref,lex",44
"ortho,space,extra",44
"gov,prep",43
"ortho,gov",42
"conj,lex",41
disc,40
"aux,miss",38
"ortho,graph",36
"ortho,space",36
"space,extra",36
"ortho,misspell",35
space+del,35
"transfer,lex",34
"syntax,gov,prep",34
"asp,lex",34
coord,33
agrgerund,32
"not-clear,lex",32
neg,31
"disc,lex,subst",30
"wo,transfer",30
"lex,ortho",30
"ortho,infl",30
"syntax,miss",29
"infl,ortho",28
"lex,asp",28
"asp,tense",28
"disc,lex,miss",28
"lex,idiom",28
"miss,constr",27
"miss,syntax",27
"morph,altern",27
"constr,extra",26
"gov,num",26
"conj,subst",26
"constr,not-clear",26
"miss,prep",26
"miss,ref",25
"ortho,lex",25
"ref,gov",25
"wo,transp",25
transp,25
"miss,ortho",24
